epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4417,2.02083,3.80602,4.08088,1.74519,0.36961,0.11667,0.07827,0.04996,0.36961,0.11667,0.07624,0.05791,1.67763,2.78653,5.03161,1.34901,3.75e-05,3.75e-05,3.75e-05
2,35.4745,1.62631,2.67861,2.78883,1.27637,0.21488,0.61012,0.35602,0.24054,0.26626,0.50446,0.35392,0.24952,1.44483,2.15698,13.9307,1.2672,8.70669e-05,8.70669e-05,8.70669e-05
3,50.5895,1.28889,2.07464,1.84124,1.18359,0.64344,0.73661,0.58342,0.43873,0.64147,0.71875,0.56085,0.42561,1.03946,1.74014,13.985,1.05412,0.000136139,0.000136139,0.000136139
4,65.8635,1.22107,2.11874,1.43877,1.11065,0.68724,0.74107,0.63911,0.45853,0.68412,0.71875,0.62643,0.43452,1.05234,1.7306,8.77437,1.03748,0.000184716,0.000184716,0.000184716
5,80.7361,1.05465,1.7831,1.29134,1.05789,0.5717,0.86161,0.81047,0.59796,0.56951,0.85714,0.80894,0.55971,0.86032,1.53019,3.08195,0.94222,0.000232798,0.000232798,0.000232798
6,95.7629,0.95066,1.59777,1.07697,1.01394,0.87028,0.71895,0.8504,0.62069,0.86691,0.71449,0.8492,0.6113,0.80923,1.42807,2.29555,0.91798,0.000280384,0.000280384,0.000280384
7,111.192,0.88569,1.52523,0.99389,0.98923,0.84825,0.84796,0.93261,0.72837,0.8396,0.83918,0.92617,0.71951,0.7977,1.40489,1.16454,0.90232,0.000327476,0.000327476,0.000327476
8,125.986,0.95951,1.46565,0.98565,0.99638,0.77748,0.95064,0.95222,0.72069,0.77748,0.95064,0.95646,0.72366,0.75922,1.42139,1.2173,0.90318,0.000374073,0.000374073,0.000374073
9,140.69,0.95635,1.41659,0.89997,0.95067,0.91606,0.91937,0.95454,0.71711,0.9115,0.91596,0.9543,0.72112,0.72665,1.33015,1.40708,0.88711,0.000420175,0.000420175,0.000420175
10,155.475,0.84371,1.34318,0.83023,0.95733,0.89011,0.98214,0.95283,0.71648,0.93711,0.91084,0.9432,0.70114,0.69286,1.22313,1.09362,0.87653,0.000465782,0.000465782,0.000465782
11,170.609,0.79955,1.25878,0.80327,0.9267,0.80126,0.90923,0.87014,0.68613,0.80635,0.91369,0.86663,0.68056,0.69592,1.11927,1.05683,0.88355,0.000510894,0.000510894,0.000510894
12,185.03,0.83334,1.17895,0.79491,0.92457,0.7416,0.81321,0.77702,0.64987,0.7392,0.80281,0.7659,0.62298,0.68308,1.19471,1.36447,0.89027,0.000555511,0.000555511,0.000555511
13,199.951,0.77741,1.04804,0.74091,0.93274,0.75867,0.81955,0.80511,0.65093,0.75512,0.81488,0.79617,0.63744,0.62338,1.2441,0.99799,0.8581,0.000599632,0.000599632,0.000599632
14,214.489,0.77031,1.17208,0.71207,0.89742,0.86717,0.87041,0.89332,0.68527,0.85943,0.86148,0.88189,0.68448,0.67575,1.35448,0.84271,0.87367,0.000643259,0.000643259,0.000643259
15,229.101,0.76548,1.23894,0.70944,0.90273,0.88358,0.93636,0.93698,0.73462,0.87697,0.92743,0.92392,0.71061,0.64186,1.31198,0.84482,0.86506,0.000686391,0.000686391,0.000686391
16,243.748,0.74484,1.13704,0.67007,0.90436,0.88358,0.93636,0.93698,0.73462,0.87697,0.92743,0.92392,0.71061,0.64186,1.31198,0.84482,0.86506,0.000729028,0.000729028,0.000729028
17,258.952,0.70105,1.07508,0.66656,0.90212,0.90174,0.86161,0.90171,0.72858,0.88194,0.83929,0.88847,0.69873,0.64865,1.2716,0.73084,0.86888,0.00077117,0.00077117,0.00077117
18,273.842,0.79758,1.21152,0.65154,0.89821,0.87798,0.92046,0.94338,0.71654,0.87129,0.9118,0.93666,0.73575,0.64554,1.27754,0.8578,0.86887,0.000812817,0.000812817,0.000812817
19,288.546,0.75114,1.10096,0.63271,0.9139,0.87798,0.92046,0.94338,0.71654,0.87129,0.9118,0.93666,0.73575,0.64554,1.27754,0.8578,0.86887,0.000853969,0.000853969,0.000853969
20,303.189,0.73485,1.04796,0.62588,0.90585,0.90922,0.91094,0.95606,0.73469,0.89762,0.89785,0.94179,0.75274,0.62749,1.40099,0.80934,0.85553,0.000894626,0.000894626,0.000894626
21,318.406,0.72313,1.06686,0.64886,0.89795,0.85377,0.86161,0.90101,0.73522,0.84012,0.84821,0.87616,0.69078,0.5808,1.65783,0.72781,0.83983,0.000934788,0.000934788,0.000934788
22,333.21,0.76071,1.07311,0.69876,0.88915,0.85377,0.86161,0.90101,0.73522,0.84012,0.84821,0.87616,0.69078,0.5808,1.65783,0.72781,0.83983,0.000974454,0.000974454,0.000974454
23,348.228,0.80465,1.17625,0.6893,0.89536,0.76944,0.86073,0.89894,0.71309,0.7597,0.84181,0.87036,0.69723,0.65569,2.02602,0.80357,0.8589,0.00101363,0.00101363,0.00101363
24,362.861,0.77477,1.04083,0.65602,0.91502,0.76944,0.86073,0.89894,0.71309,0.7597,0.84181,0.87036,0.69723,0.65569,2.02602,0.80357,0.8589,0.0010523,0.0010523,0.0010523
25,378.607,0.76994,1.17148,0.63383,0.90631,0.89887,0.86763,0.9398,0.73606,0.88439,0.84977,0.91674,0.70891,0.7304,1.89961,0.76094,0.87657,0.00109048,0.00109048,0.00109048
26,394.686,0.81809,1.08449,0.65538,0.91393,0.89887,0.86763,0.9398,0.73606,0.88439,0.84977,0.91674,0.70891,0.7304,1.89961,0.76094,0.87657,0.00109531,0.00109531,0.00109531
27,409.218,0.75603,1.13422,0.62213,0.90492,0.91258,0.8918,0.92799,0.72855,0.88273,0.893,0.91402,0.7085,0.67848,1.71224,0.7298,0.87307,0.00108913,0.00108913,0.00108913
28,423.932,0.75735,1.03502,0.61095,0.89773,0.91258,0.8918,0.92799,0.72855,0.88273,0.893,0.91402,0.7085,0.67848,1.71224,0.7298,0.87307,0.00108294,0.00108294,0.00108294
29,439.187,0.77988,1.14155,0.60195,0.92282,0.89896,0.88767,0.94367,0.75877,0.89133,0.87883,0.92423,0.70989,0.57682,1.9749,0.72723,0.84857,0.00107675,0.00107675,0.00107675
30,454.15,0.73909,1.04415,0.59186,0.9057,0.89896,0.88767,0.94367,0.75877,0.89133,0.87883,0.92423,0.70989,0.57682,1.9749,0.72723,0.84857,0.00107056,0.00107056,0.00107056
31,468.71,0.68904,1.02102,0.57817,0.89103,0.88707,0.95591,0.95513,0.75179,0.88707,0.95591,0.94291,0.69536,0.5846,1.59362,0.73514,0.86316,0.00106437,0.00106437,0.00106437
32,483.308,0.74537,1.01428,0.5773,0.91586,0.88707,0.95591,0.95513,0.75179,0.88707,0.95591,0.94291,0.69536,0.5846,1.59362,0.73514,0.86316,0.00105819,0.00105819,0.00105819
33,498.13,0.72489,0.99826,0.58352,0.86981,0.88193,0.97909,0.93396,0.69977,0.87822,0.97462,0.91581,0.67133,0.60854,1.66489,0.70996,0.8645,0.001052,0.001052,0.001052
34,513.109,0.7267,1.00586,0.58943,0.91061,0.88193,0.97909,0.93396,0.69977,0.87822,0.97462,0.91581,0.67133,0.60854,1.66489,0.70996,0.8645,0.00104581,0.00104581,0.00104581
35,528.121,0.68985,0.99804,0.5647,0.92235,0.90993,0.98671,0.95473,0.72615,0.89447,0.96886,0.9156,0.70712,0.60696,1.89704,0.70985,0.86138,0.00103962,0.00103962,0.00103962
36,542.632,0.68991,0.98204,0.55477,0.89263,0.90993,0.98671,0.95473,0.72615,0.89447,0.96886,0.9156,0.70712,0.60696,1.89704,0.70985,0.86138,0.00103344,0.00103344,0.00103344
37,557.459,0.64773,0.90462,0.49647,0.87073,0.91119,0.97901,0.95158,0.71177,0.89332,0.96147,0.91088,0.67494,0.66567,1.79818,0.66407,0.86229,0.00102725,0.00102725,0.00102725
38,571.964,0.67214,0.94064,0.49932,0.868,0.91119,0.97901,0.95158,0.71177,0.89332,0.96147,0.91088,0.67494,0.66567,1.79818,0.66407,0.86229,0.00102106,0.00102106,0.00102106
39,586.669,0.66997,0.95693,0.49519,0.85706,0.90852,0.98578,0.95302,0.75893,0.89294,0.96793,0.9111,0.69627,0.63275,1.55936,0.62521,0.85164,0.00101488,0.00101488,0.00101488
40,601.172,0.6663,0.93399,0.51311,0.88135,0.90852,0.98578,0.95302,0.75893,0.89294,0.96793,0.9111,0.69627,0.63275,1.55936,0.62521,0.85164,0.00100869,0.00100869,0.00100869
41,615.377,0.67205,0.90638,0.51976,0.87016,0.90429,0.97995,0.95236,0.77437,0.88879,0.96209,0.90955,0.73857,0.61644,1.51219,0.57613,0.84149,0.0010025,0.0010025,0.0010025
42,629.398,0.61566,0.86195,0.47536,0.87527,0.90429,0.97995,0.95236,0.77437,0.88879,0.96209,0.90955,0.73857,0.61644,1.51219,0.57613,0.84149,0.000996313,0.000996313,0.000996313
43,643.565,0.64057,0.92496,0.47987,0.8876,0.90324,0.98308,0.94286,0.74965,0.89942,0.97862,0.91972,0.73154,0.56292,1.49937,0.55067,0.83355,0.000990125,0.000990125,0.000990125
44,657.807,0.60957,0.92948,0.46568,0.88796,0.90324,0.98308,0.94286,0.74965,0.89942,0.97862,0.91972,0.73154,0.56292,1.49937,0.55067,0.83355,0.000983938,0.000983938,0.000983938
45,671.806,0.62263,0.90903,0.48378,0.8651,0.90374,0.97961,0.93745,0.73801,0.90374,0.97961,0.92407,0.73451,0.59093,1.54788,0.59681,0.83342,0.00097775,0.00097775,0.00097775
46,685.723,0.65816,0.92129,0.47761,0.8753,0.90374,0.97961,0.93745,0.73801,0.90374,0.97961,0.92407,0.73451,0.59093,1.54788,0.59681,0.83342,0.000971562,0.000971562,0.000971562
47,700.347,0.64182,0.87095,0.46371,0.87785,0.90582,0.94494,0.93214,0.73525,0.88718,0.96918,0.89846,0.72341,0.6208,1.50152,0.60357,0.83581,0.000965375,0.000965375,0.000965375
48,714.691,0.64285,0.88573,0.45107,0.84548,0.90582,0.94494,0.93214,0.73525,0.88718,0.96918,0.89846,0.72341,0.6208,1.50152,0.60357,0.83581,0.000959187,0.000959187,0.000959187
49,729.767,0.62992,0.86436,0.45723,0.85369,0.91485,0.94494,0.93687,0.75518,0.89131,0.96055,0.91025,0.74383,0.57502,1.35845,0.64793,0.83947,0.000953,0.000953,0.000953
50,744.226,0.64832,0.90057,0.47376,0.86856,0.91485,0.94494,0.93687,0.75518,0.89131,0.96055,0.91025,0.74383,0.57502,1.35845,0.64793,0.83947,0.000946812,0.000946812,0.000946812
51,758.683,0.68407,0.94893,0.48482,0.88346,0.90312,0.98184,0.9442,0.76631,0.89156,0.96844,0.91676,0.72829,0.52097,1.29301,0.56502,0.82953,0.000940625,0.000940625,0.000940625
52,772.651,0.62995,0.81676,0.4614,0.90858,0.90312,0.98184,0.9442,0.76631,0.89156,0.96844,0.91676,0.72829,0.52097,1.29301,0.56502,0.82953,0.000934438,0.000934438,0.000934438
53,786.494,0.63141,0.82447,0.47134,0.8836,0.91857,0.98099,0.94376,0.7715,0.90687,0.9676,0.9221,0.74184,0.53176,1.3981,0.56792,0.83456,0.00092825,0.00092825,0.00092825
54,800.734,0.60901,0.84002,0.47032,0.87271,0.91857,0.98099,0.94376,0.7715,0.90687,0.9676,0.9221,0.74184,0.53176,1.3981,0.56792,0.83456,0.000922063,0.000922063,0.000922063
55,814.771,0.59862,0.89093,0.45378,0.87006,0.87978,0.98661,0.95407,0.77366,0.86809,0.97321,0.93503,0.769,0.54548,1.43873,0.59885,0.84985,0.000915875,0.000915875,0.000915875
56,828.931,0.60995,0.83471,0.45322,0.89537,0.87978,0.98661,0.95407,0.77366,0.86809,0.97321,0.93503,0.769,0.54548,1.43873,0.59885,0.84985,0.000909688,0.000909688,0.000909688
