epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.031,1.16,1.8558,1.79393,1.15344,0.93464,0.9724,0.97411,0.81063,0.92946,0.96886,0.96954,0.74502,0.61157,1.15733,0.96302,0.84211,0.000275,0.000275,0.000275
2,478.43,0.62842,0.88822,0.63636,0.86178,0.9889,0.93923,0.98255,0.84837,0.9834,0.94533,0.98055,0.79683,0.55837,0.93688,0.61254,0.82193,0.000534656,0.000534656,0.000534656
3,714.999,0.5827,0.71974,0.52573,0.8524,0.9879,0.97141,0.98485,0.83494,0.98216,0.96518,0.97708,0.76847,0.64971,0.83703,0.51659,0.83401,0.00076585,0.00076585,0.00076585
4,944.405,0.53074,0.66923,0.4615,0.84093,0.9819,0.97959,0.98899,0.87865,0.98063,0.97818,0.98127,0.82658,0.46135,0.80331,0.43486,0.78926,0.000968581,0.000968581,0.000968581
5,1171.79,0.46763,0.6521,0.4064,0.82452,0.98602,0.98119,0.98738,0.91055,0.98746,0.98047,0.98262,0.82848,0.4347,0.79449,0.40707,0.78254,0.0010025,0.0010025,0.0010025
6,1404.14,0.45804,0.58338,0.3893,0.82154,0.98925,0.98656,0.98554,0.91301,0.9827,0.98009,0.97888,0.82238,0.40178,0.73227,0.36816,0.77413,0.000940625,0.000940625,0.000940625
7,1636.07,0.42868,0.53751,0.36023,0.82021,0.98406,0.99353,0.98845,0.93079,0.98274,0.9922,0.98446,0.85034,0.39382,0.74068,0.35458,0.76968,0.00087875,0.00087875,0.00087875
8,1869.07,0.42901,0.54352,0.35537,0.81537,0.98537,0.99021,0.98995,0.919,0.98203,0.98686,0.98527,0.85734,0.37739,0.69163,0.32709,0.76532,0.000816875,0.000816875,0.000816875
9,2100.95,0.37905,0.46991,0.32566,0.8103,0.9836,0.98896,0.99011,0.94635,0.97956,0.98484,0.98346,0.86792,0.339,0.71422,0.30398,0.76308,0.000755,0.000755,0.000755
10,2331.4,0.38502,0.48686,0.321,0.80755,0.98772,0.9856,0.98994,0.93444,0.98593,0.98382,0.98621,0.86098,0.35724,0.70038,0.29724,0.76596,0.000693125,0.000693125,0.000693125
11,2560.06,0.34663,0.44345,0.30519,0.79478,0.98465,0.98675,0.98991,0.9308,0.98421,0.98631,0.98885,0.88886,0.35027,0.73998,0.28686,0.76109,0.00063125,0.00063125,0.00063125
12,2786.25,0.34077,0.43212,0.29419,0.79363,0.98702,0.98332,0.98898,0.9414,0.98568,0.98199,0.98566,0.87831,0.31392,0.68585,0.27817,0.7562,0.000569375,0.000569375,0.000569375
13,3010.65,0.3343,0.42631,0.28405,0.79255,0.98986,0.98541,0.98955,0.9407,0.98538,0.98097,0.98572,0.87574,0.31763,0.68572,0.27008,0.75222,0.0005075,0.0005075,0.0005075
14,3236.59,0.29874,0.40881,0.26296,0.78555,0.98943,0.98719,0.98952,0.95227,0.98809,0.98586,0.98631,0.87503,0.305,0.65894,0.24527,0.75401,0.000445625,0.000445625,0.000445625
15,3465.1,0.29085,0.40248,0.25029,0.78299,0.98825,0.98961,0.9908,0.9585,0.98352,0.98493,0.98592,0.88346,0.27292,0.64561,0.24113,0.75322,0.00038375,0.00038375,0.00038375
16,3695.59,0.28777,0.38464,0.24715,0.78774,0.9866,0.99004,0.99162,0.9538,0.98233,0.98584,0.98692,0.87099,0.29518,0.63507,0.26761,0.75291,0.000321875,0.000321875,0.000321875
17,3922.45,0.27702,0.37482,0.23957,0.78357,0.98809,0.98948,0.98995,0.95759,0.9807,0.98216,0.98212,0.87636,0.27045,0.57631,0.24515,0.75273,0.00026,0.00026,0.00026
18,4151.6,0.26311,0.36815,0.23078,0.77982,0.98573,0.98997,0.9904,0.96147,0.97877,0.98311,0.98303,0.88039,0.24925,0.57976,0.2365,0.75167,0.000198125,0.000198125,0.000198125
19,4377.5,0.25305,0.35505,0.22215,0.77681,0.98709,0.99047,0.99142,0.96252,0.98222,0.98462,0.98657,0.88534,0.25437,0.58938,0.22687,0.75196,0.00013625,0.00013625,0.00013625
20,4603.88,0.24192,0.34042,0.21513,0.77951,0.98752,0.98961,0.99134,0.96585,0.98011,0.98226,0.9836,0.88907,0.24312,0.57894,0.21948,0.75087,7.4375e-05,7.4375e-05,7.4375e-05
